disaster_id,storm_name,year,month,day,location,deaths,affected,displaced,damage_usd_thousands,damage_usd_adj_thousands,decade,damage_usd,damage_usd_adj,damage_billions,storm_name_clean
1980-0067-PHL,Joe,1980,7.0,21.0,Northern,31,600000,300000,15400.0,58620.0,1980s,15400000.0,58620000.0,0.0154,Joe
1980-0070-PHL,Kim,1980,7.0,25.0,Cagayan Valley (Northwestern),40,190000,0,,,1980s,0.0,,0.0,Kim
1980-0099-PHL,Betty (Aring),1980,11.0,6.0,North and Central Luzon,101,1004000,229000,102300.0,389407.0,1980s,102300000.0,389407000.0,0.1023,Betty (Aring)
1980-0132-PHL,(Biring),1980,3.0,20.0,,4,665,100,402.0,1530.0,1980s,402000.0,1530000.0,0.000402,(Biring)
1980-0133-PHL,(Ditang),1980,5.0,7.0,,0,3063,528,289.0,1100.0,1980s,289000.0,1100000.0,0.000289,(Ditang)
1980-0136-PHL,(Nitang/Osang),1980,7.0,19.0,,36,69237,10451,,,1980s,0.0,,0.0,(Nitang/Osang)
1981-0062-PHL,,1981,7.0,4.0,Oriental Mindoro,0,28500,3500,,,1980s,0.0,,0.0,Unnamed
1981-0083-PHL,Clara,1981,9.0,20.0,Northern Luzon,55,21905,3340,6700.0,23115.0,1980s,6700000.0,23115000.0,0.0067,Clara
1981-0101-PHL,Irma (Anding),1981,11.0,25.0,,261,840173,0,35000.0,120749.0,1980s,35000000.0,120749000.0,0.035,Irma (Anding)
1981-0112-PHL,Lee (Dinang),1981,12.0,25.0,"Samar, Mindoro, Luzon",250,180000,0,26000.0,89699.0,1980s,26000000.0,89699000.0,0.026,Lee (Dinang)
1981-0134-PHL,(Daling),1981,6.0,28.0,,210,15478,3356,7609.0,26251.0,1980s,7609000.0,26251000.0,0.007609,(Daling)
1981-0136-PHL,(Rubing),1981,8.0,16.0,,5,9721,1195,12908.0,44532.0,1980s,12908000.0,44532000.0,0.012908,(Rubing)
1981-0138-PHL,(Yeyeng),1981,11.0,17.0,,4,5736,67,167.0,576.0,1980s,167000.0,576000.0,0.000167,(Yeyeng)
1982-0037-PHL,Mamie,1982,3.0,22.0,S.E./N. Mindanao,117,16000,0,,,1980s,0.0,,0.0,Mamie
1982-0038-PHL,Nelson (Bising),1982,3.0,23.0,Central province,151,789031,304000,69000.0,224296.0,1980s,69000000.0,224296000.0,0.069,Nelson (Bising)
1982-0093-PHL,Faye,1982,8.0,25.0,West,70,25967,0,6500.0,21129.0,1980s,6500000.0,21129000.0,0.0065,Faye
1982-0101-PHL,(Ruping),1982,9.0,5.0,C./S. Luzon,65,50008,5599,,,1980s,0.0,,0.0,(Ruping)
1982-0111-PHL,Nancy (Weling),1982,10.0,12.0,North Luzon,96,64179,12464,32000.0,104021.0,1980s,32000000.0,104021000.0,0.032,Nancy (Weling)
1982-0173-PHL,(Akang),1982,3.0,18.0,,25,25099,1180,2400.0,7802.0,1980s,2400000.0,7802000.0,0.0024,(Akang)
1982-0174-PHL,(Emang),1982,7.0,12.0,,10,12319,431,4500.0,14628.0,1980s,4500000.0,14628000.0,0.0045,(Emang)
1982-0175-PHL,(Norming),1982,8.0,20.0,,29,36927,5365,4200.0,13653.0,1980s,4200000.0,13653000.0,0.0042,(Norming)
1982-0176-PHL,(Aning),1982,12.0,2.0,Visayan Sea region,0,85,44,5.0,16.0,1980s,5000.0,16000.0,5e-06,(Aning)
1983-0096-PHL,Vera (Bebeng),1983,7.0,14.0,Southeast Luzon,115,149892,29054,1640.0,5165.0,1980s,1640000.0,5165000.0,0.00164,Vera (Bebeng)
1983-0219-PHL,Ellen (Herming),1983,9.0,3.0,,3,1684,195,430.0,1354.0,1980s,430000.0,1354000.0,0.00043,Ellen (Herming)
1983-0220-PHL,Orchid (Warling),1983,11.0,17.0,,8,18854,611,2250.0,7086.0,1980s,2250000.0,7086000.0,0.00225,Orchid (Warling)
1984-0073-PHL,June (Maring),1984,8.0,27.0,"Northern Luzon, Pangasinan province",138,483747,7745,23000.0,69451.0,1980s,23000000.0,69451000.0,0.023,June (Maring)
1984-0105-PHL,Agnes (Undang),1984,11.0,3.0,"Capiz, Ilailo, Aklau, Antique, Leyte, Eastern Samar, Roxas, Tacloban",1079,2261900,765965,96600.0,291696.0,1980s,96600000.0,291696000.0,0.0966,Agnes (Undang)
