month,storm_count,total_deaths,total_affected,total_damage,month_name,pct_of_total
1.0,6,91,1325808,29083000.0,Jan,2.127659574468085
2.0,4,66,890280,13864000.0,Feb,1.4184397163120568
3.0,5,315,830806,71802000.0,Mar,1.773049645390071
4.0,8,410,2942769,105588000.0,Apr,2.8368794326241136
5.0,17,407,4118459,229112000.0,May,6.028368794326241
6.0,15,1125,8165845,360381000.0,Jun,5.319148936170213
7.0,49,1704,30210516,3803028920.0,Jul,17.375886524822697
8.0,33,843,7665489,487551000.0,Aug,11.702127659574469
9.0,38,3380,33195683,1828854000.0,Sep,13.47517730496454
10.0,47,2901,45925146,3145890000.0,Oct,16.666666666666664
11.0,37,21213,44648992,12002425000.0,Nov,13.120567375886525
12.0,23,5057,35945974,2621449000.0,Dec,8.156028368794328
