decade,region,storm_count,deaths,affected,damage
1980s,Luzon,19,1432,7620561,536889000.0
1980s,Mindanao,3,1932,5053073,457200000.0
1980s,Unspecified,27,1054,2683111,222210000.0
1980s,Visayas,6,2569,6055696,387185000.0
1990s,Luzon,21,571,4679951,521900000.0
1990s,Mindanao,4,300,2204330,81913000.0
1990s,Unspecified,11,609,5555623,128442000.0
1990s,Visayas,7,7985,11990222,926937000.0
2000s,Luzon,38,3913,15610195,627654000.0
2000s,Mindanao,13,1627,11783484,618064000.0
2000s,Unspecified,3,46,56522,7700000.0
2000s,Visayas,16,1418,15061741,825366000.0
2010s,Luzon,37,613,18911624,2794958920.0
2010s,Mindanao,23,3702,18772353,1259427000.0
2010s,Unspecified,2,18,2231784,88000000.0
2010s,Visayas,16,8068,32849793,11954328000.0
2020s,Luzon,13,256,20745442,1568550000.0
2020s,Mindanao,10,1235,27909854,1476677000.0
2020s,Unspecified,6,96,2107442,131100000.0
2020s,Visayas,7,68,3982966,84527000.0
