year,storm_count,total_deaths,total_affected,total_damage_usd,decade,avg_storms_per_year,trend_line
1980,6,212,1866965,118391000.0,1980s,6.266666666666667,4.478260869565247
1981,7,785,1101513,88384000.0,1980s,6.266666666666667,4.55955204216076
1982,9,563,1019615,118605000.0,1980s,6.266666666666667,4.6408432147562735
1983,3,126,170430,4320000.0,1980s,6.266666666666667,4.722134387351815
1984,4,2679,4535206,336490000.0,1980s,6.266666666666667,4.803425559947328
1985,3,186,1603974,83033000.0,1980s,6.266666666666667,4.8847167325428416
1986,6,176,1242736,86460000.0,1980s,6.266666666666667,4.966007905138355
1987,5,1094,3237632,193700000.0,1980s,6.266666666666667,5.047299077733896
1988,5,788,4497505,403016000.0,1980s,6.266666666666667,5.12859025032941
1989,7,378,2136865,171085000.0,1980s,6.266666666666667,5.209881422924923
1990,5,737,6319583,388500000.0,1990s,6.266666666666667,5.291172595520436
1991,6,6083,1571865,275000000.0,1990s,6.266666666666667,5.372463768115978
1992,3,75,313198,0.0,1990s,6.266666666666667,5.453754940711491
1993,5,490,3511327,257442000.0,1990s,6.266666666666667,5.535046113307004
1994,10,186,1917659,138413000.0,1990s,6.266666666666667,5.616337285902517
1995,5,1218,3027964,317100000.0,1990s,6.266666666666667,5.697628458498059
1996,1,26,36828,38000000.0,1990s,6.266666666666667,5.778919631093572
1997,3,49,366770,7500000.0,1990s,6.266666666666667,5.860210803689085
1998,4,594,7322999,235437000.0,1990s,6.266666666666667,5.941501976284599
1999,1,7,41933,1800000.0,1990s,6.266666666666667,6.02279314888014
2000,6,394,6187431,83464000.0,2000s,6.266666666666667,6.1040843214756535
2001,4,583,3117725,97361000.0,2000s,6.266666666666667,6.185375494071167
2002,3,102,714041,6664000.0,2000s,6.266666666666667,6.26666666666668
2003,6,93,430816,35229000.0,2000s,6.266666666666667,6.347957839262222
2004,7,1854,3236774,138867000.0,2000s,6.266666666666667,6.429249011857735
2005,2,34,20011,2000000.0,2000s,6.266666666666667,6.510540184453248
2006,10,1805,7821808,330921000.0,2000s,6.266666666666667,6.591831357048761
2007,8,78,1909794,9955000.0,2000s,6.266666666666667,6.673122529644303
2008,11,819,6851979,441625000.0,2000s,6.266666666666667,6.754413702239816
2009,13,1242,12221563,932698000.0,2000s,6.266666666666667,6.835704874835329
2010,3,212,2595545,284420000.0,2010s,6.266666666666667,6.9169960474308425
2011,12,1782,9468676,527238000.0,2010s,6.266666666666667,6.998287220026384
2012,9,2039,7560480,918137000.0,2010s,6.266666666666667,7.079578392621897
2013,8,7415,17944571,10136563000.0,2010s,6.266666666666667,7.160869565217411
2014,9,326,13068983,1062899000.0,2010s,6.266666666666667,7.242160737812924
2015,10,148,3606205,1881367000.0,2010s,6.266666666666667,7.323451910408465
2016,7,34,2962703,170754000.0,2010s,6.266666666666667,7.404743083003979
2017,6,51,184363,10874920.0,2010s,6.266666666666667,7.486034255599492
2018,7,302,9348889,566148000.0,2010s,6.266666666666667,7.567325428195005
2019,7,92,6025139,538313000.0,2010s,6.266666666666667,7.648616600790547
2020,6,190,5374740,1044974000.0,2020s,6.266666666666667,7.72990777338606
2021,7,561,12379433,1025235000.0,2020s,6.266666666666667,7.811198945981573
2022,5,504,5740297,105125000.0,2020s,6.266666666666667,7.892490118577086
2023,7,47,6878482,317520000.0,2020s,6.266666666666667,7.973781291172628
2024,11,353,24372752,768000000.0,2020s,6.266666666666667,8.055072463768141
