sid,name,year,max_24h_intensification
1994259N12128,ORCHID,1994,108.0
1995258N14115,RYAN,1995,88.0
2021248N12141,CHANTHU,2021,63.0
2006311N16143,CHEBI,2006,60.0
2012263N15141,JELAWAT,2012,60.0
2022264N17132,NORU,2022,58.0
2020299N11144,GONI,2020,58.0
2021346N05145,RAI,2021,55.0
1995287N08163,WARD,1995,55.0
2001248N23125,NARI,2001,55.0
2011208N09145,MUIFA,2011,53.0
1985284N05159,DOT,1985,53.0
1989324N17174,IRMA,1989,50.0
1998285N12149,BABS,1998,50.0
1989246N16159,SARAH,1989,48.0
2002187N11160,HALONG,2002,48.0
2021102N06144,SURIGAE,2021,47.0
1998258N19126,TODD,1998,47.0
2006329N06150,DURIAN,2006,47.0
1997283N07177,IVAN,1997,45.0
2024314N07151,USAGI,2024,45.0
1986179N11175,PEGGY,1986,45.0
1983201N08144,WAYNE,1983,45.0
1986225N17134,VERA,1986,45.0
2022239N22150,HINNAMNOR,2022,45.0
1982077N04161,NELSON,1982,45.0
2003319N13172,LUPIT,2003,43.0
2012254N09135,SANBA,2012,43.0
2013306N07162,HAIYAN,2013,43.0
2006268N12129,XANGSANE,2006,43.0
2012331N03157,BOPHA,2012,42.0
1995293N05177,ANGELA,1995,42.0
2024244N09137,YAGI,2024,42.0
2018294N08161,YUTU,2018,40.0
2009121N13124,KUJIRA,2009,40.0
2002178N04155,CHATAAN,2002,40.0
1996203N12152,HERB,1996,40.0
1996210N05156,KIRK,1996,40.0
1990129N05138,MARIAN,1990,40.0
2003247N10153,MAEMI,2003,40.0
2014303N13141,NURI,2014,40.0
1983212N06151,ABBY,1983,40.0
2012230N21126,TEMBIN,2012,40.0
2011233N12129,NANMADOL,2011,40.0
1981158N17119,IKE,1981,38.0
2005192N22155,HAITANG,2005,38.0
1981317N14153,HAZEN,1981,38.0
2024313N10169,MAN-YI,2024,38.0
1988193N09149,WARREN,1988,38.0
1983259N08161,FORREST,1983,38.0
2000184N13133,KIROGI,2000,38.0
1988308N09140,SKIP,1988,38.0
2013274N18152,DANAS,2013,38.0
1992172N07144,BOBBIE,1992,38.0
2006298N12143,CIMARON,2006,38.0
2009215N20133,MORAKOT,2009,37.0
2024298N13150,KONG-REY,2024,35.0
2013220N12137,UTOR,2013,35.0
2013259N17132,USAGI,2013,35.0
2014184N08147,NEOGURI,2014,35.0
2016253N13144,MERANTI,2016,35.0
1980201N08155,KIM,1980,35.0
1982213N13145,CECIL,1982,35.0
1984336N05156,DOYLE,1984,35.0
2005071N06152,ROKE,2005,35.0
2015344N07145,MELOR,2015,33.0
2019214N15134,LEKIMA,2019,33.0
1996246N08148,SALLY,1996,33.0
1997196N08142,ROSIE,1997,33.0
2017288N09138,LAN,2017,33.0
1985347N07155,HOPE,1985,33.0
2001204N19127,YUTU,2001,33.0
1995236N10134,KENT,1995,33.0
2009272N07164,MELOR,2009,33.0
2023207N09141,KHANUN,2023,33.0
1992318N06182,GAY,1992,33.0
2019329N09160,KAMMURI,2019,32.0
2016355N07146,NOCK-TEN,2016,32.0
2020129N07134,VONGFONG,2020,32.0
2016269N15165,CHABA,2016,32.0
2005282N22138,KIROGI,2005,32.0
2003290N15132,KETSANA,2003,32.0
2008128N07134,RAMMASUN,2008,32.0
2009270N10148,PARMA,2009,32.0
2005107N07151,SONCA,2005,30.0
1982257N17140,KEN,1982,30.0
2024270N24128,KRATHON,2024,30.0
1982283N17148,NANCY,1982,30.0
2023271N14144,KOINU,2023,30.0
2007254N18140,NARI,2007,30.0
1983188N06136,TIP,1983,30.0
1983317N12153,ORCHID,1983,30.0
1983325N08148,RUTH,1983,30.0
1984180N16130,ALEX,1984,30.0
1995294N05163,ZACK,1995,30.0
1990251N06171,FLO,1990,30.0
2004288N09164,NOCK-TEN,2004,30.0
2000299N08139,XANGSANE,2000,30.0
2012162N06150,GUCHOL,2012,30.0
2000125N06136,DAMREY,2000,30.0
1998213N14128,OTTO,1998,30.0
1996254N13138,VIOLET,1996,30.0
1987219N08134,BETTY,1987,30.0
2016185N08145,NEPARTAK,2016,30.0
2005237N14148,TALIM,2005,30.0
1989286N14137,ELSIE,1989,30.0
1985162N05154,HAL,1985,30.0
