sid,name,year,month,max_wind_kt,max_wind_kmh,lat_min,lat_max,lat_mean,lon_min,lon_max,lon_mean,start_time,end_time,decade,era,category,duration_hours,reached_mindanao
1980076N06148,UNNAMED,1980,3,30.0,55.56,9.1,13.7,11.740384615384615,115.2,134.8,124.70576923076922,1980-03-20 15:00:00,1980-03-27 00:00:00,1980s,Pre-2010,TD,153.0,True
1980126N08150,DOM,1980,5,88.0,162.976,10.4,25.0,18.176404494382023,122.4,134.8,126.19887640449438,1980-05-10 06:00:00,1980-05-21 06:00:00,1980s,Pre-2010,Cat 2,264.0,False
1980137N04158,FORREST,1980,5,55.0,101.86,10.8,24.8,16.735714285714284,119.8,134.1,124.37857142857142,1980-05-22 18:00:00,1980-05-27 21:00:00,1980s,Pre-2010,TS,123.0,False
1980140N16116,GEORGIA,1980,5,55.0,101.86,14.3,24.7,18.151851851851852,115.1,117.8,115.88888888888889,1980-05-19 00:00:00,1980-05-24 09:00:00,1980s,Pre-2010,TS,129.0,False
1980171N06142,HERBERT,1980,6,43.0,79.63600000000001,8.4,14.3,10.9125,115.1,134.7,125.484375,1980-06-21 03:00:00,1980-06-25 00:00:00,1980s,Pre-2010,TS,93.0,True
1980181N10130,UNNAMED,1980,6,29.0,53.708000000000006,10.0,19.6,15.079999999999998,116.8,130.0,121.92,1980-06-28 18:00:00,1980-07-03 00:00:00,1980s,Pre-2010,TD,102.0,True
1980187N09146,IDA,1980,7,70.0,129.64000000000001,16.2,24.6,20.400000000000002,115.4,134.5,122.85263157894735,1980-07-07 09:00:00,1980-07-12 00:00:00,1980s,Pre-2010,Cat 1,111.0,False
1980197N07154,JOE,1980,7,100.0,185.20000000000002,14.4,18.9,16.32,115.5,134.7,125.23200000000001,1980-07-18 18:00:00,1980-07-21 18:00:00,1980s,Pre-2010,Cat 3,72.0,False
1980197N15133,UNNAMED,1980,7,30.0,55.56,14.3,17.2,14.947826086956523,115.3,132.5,123.3695652173913,1980-07-14 18:00:00,1980-07-17 12:00:00,1980s,Pre-2010,TD,66.0,False
1980201N08155,KIM,1980,7,130.0,240.76000000000002,11.3,24.0,17.05348837209302,115.3,134.6,123.07906976744185,1980-07-22 09:00:00,1980-07-27 15:00:00,1980s,Pre-2010,Cat 4,126.0,False
1980225N11145,UNNAMED,1980,8,23.0,42.596000000000004,12.2,18.5,15.4125,115.0,134.9,123.896875,1980-08-13 06:00:00,1980-08-17 03:00:00,1980s,Pre-2010,TD,93.0,False
1980236N15144,NORRIS,1980,8,95.0,175.94,18.2,24.8,21.491666666666664,121.0,134.7,127.7,1980-08-25 00:00:00,1980-08-27 21:00:00,1980s,Pre-2010,Cat 2,69.0,False
1980240N17119,UNNAMED,1980,8,23.0,42.596000000000004,15.0,17.2,16.057142857142857,115.5,119.0,117.17142857142856,1980-08-26 18:00:00,1980-08-27 12:00:00,1980s,Pre-2010,TD,18.0,False
1980243N09134,UNNAMED,1980,8,23.0,42.596000000000004,9.0,12.0,10.170370370370371,126.8,133.5,130.15925925925927,1980-08-30 06:00:00,1980-09-02 12:00:00,1980s,Pre-2010,TD,78.0,True
1980246N05151,ORCHID,1980,9,75.0,138.9,22.5,25.0,23.62222222222222,131.2,134.9,132.8777777777778,1980-09-08 21:00:00,1980-09-09 21:00:00,1980s,Pre-2010,Cat 1,24.0,False
1980257N17133,PERCY,1980,9,123.0,227.79600000000002,17.2,24.9,19.981632653061226,115.8,132.7,125.41836734693878,1980-09-13 06:00:00,1980-09-19 06:00:00,1980s,Pre-2010,Cat 4,144.0,False
1980277N09157,WYNNE,1980,10,138.0,255.57600000000002,20.0,24.8,22.352631578947367,126.1,134.9,129.70526315789473,1980-10-09 18:00:00,1980-10-12 00:00:00,1980s,Pre-2010,Cat 5,54.0,False
1980296N05165,BETTY,1980,11,123.0,227.79600000000002,14.2,25.0,17.092,120.4,134.5,125.542,1980-11-01 06:00:00,1980-11-07 09:00:00,1980s,Pre-2010,Cat 4,147.0,False
1980300N08137,CARY,1980,10,40.0,74.08,7.9,16.4,12.93611111111111,115.0,134.9,124.58611111111112,1980-10-26 12:00:00,1980-10-30 21:00:00,1980s,Pre-2010,TS,105.0,True
1980317N09118,UNNAMED,1980,11,21.0,38.892,8.7,12.3,10.775,115.3,117.7,116.7125,1980-11-12 00:00:00,1980-11-12 21:00:00,1980s,Pre-2010,TD,21.0,True
1980349N10138,ED,1980,12,50.0,92.60000000000001,7.6,14.6,12.164473684210526,123.5,134.7,127.63552631578946,1980-12-14 15:00:00,1980-12-24 00:00:00,1980s,Pre-2010,TS,225.0,True
1981158N17119,IKE,1981,6,65.0,120.38000000000001,16.7,24.9,19.632,115.2,122.1,118.46,1981-06-07 00:00:00,1981-06-13 15:00:00,1980s,Pre-2010,Cat 1,159.0,False
1981166N11135,JUNE,1981,6,75.0,138.9,11.4,24.7,17.028888888888886,121.7,134.8,128.29111111111112,1981-06-15 00:00:00,1981-06-20 12:00:00,1980s,Pre-2010,Cat 1,132.0,False
1981176N08150,KELLY,1981,6,58.0,107.41600000000001,13.2,14.5,13.69375,115.1,134.9,124.596875,1981-06-28 12:00:00,1981-07-02 09:00:00,1980s,Pre-2010,TS,93.0,False
1981178N05160,LYNN,1981,7,55.0,101.86,9.1,19.9,14.458823529411765,115.3,134.7,123.87352941176471,1981-07-01 18:00:00,1981-07-05 21:00:00,1980s,Pre-2010,TS,99.0,True
1981195N11138,MAURY,1981,7,55.0,101.86,15.5,25.0,19.920833333333334,124.3,134.9,129.67083333333332,1981-07-16 03:00:00,1981-07-19 00:00:00,1980s,Pre-2010,TS,69.0,False
1981202N24123,NINA,1981,7,29.0,53.708000000000006,23.8,25.0,24.457142857142856,123.1,123.2,123.14285714285714,1981-07-21 00:00:00,1981-07-21 18:00:00,1980s,Pre-2010,TD,18.0,False
1981214N13113,ROY,1981,8,50.0,92.60000000000001,15.1,20.6,18.002857142857142,115.0,118.6,116.73142857142857,1981-08-04 00:00:00,1981-08-08 06:00:00,1980s,Pre-2010,TS,102.0,False
1981214N16133,UNNAMED,1981,8,23.0,42.596000000000004,16.4,17.3,16.857142857142858,133.0,134.8,133.82857142857142,1981-08-02 00:00:00,1981-08-02 18:00:00,1980s,Pre-2010,TD,18.0,False
1981226N16119,WARREN,1981,8,26.0,48.152,15.5,16.4,16.107142857142858,115.1,118.5,116.69285714285715,1981-08-14 06:00:00,1981-08-15 21:00:00,1980s,Pre-2010,TD,39.0,False
1981227N18129,THAD,1981,8,85.0,157.42000000000002,17.7,25.0,20.63611111111111,128.9,134.4,132.30833333333334,1981-08-15 00:00:00,1981-08-19 09:00:00,1980s,Pre-2010,Cat 2,105.0,False
1981237N16148,AGNES,1981,8,83.0,153.716,19.6,25.0,22.244444444444444,126.5,134.6,130.33888888888887,1981-08-28 03:00:00,1981-08-30 06:00:00,1980s,Pre-2010,Cat 2,51.0,False
1981256N10150,CLARA,1981,9,120.0,222.24,12.3,23.5,16.860416666666666,115.2,135.0,125.1875,1981-09-16 03:00:00,1981-09-22 00:00:00,1980s,Pre-2010,Cat 4,141.0,False
1981265N14117,UNNAMED,1981,9,29.0,53.708000000000006,14.0,23.5,18.575,115.0,116.7,115.79375,1981-09-22 00:00:00,1981-09-24 00:00:00,1980s,Pre-2010,TD,48.0,False
1981266N09151,ELSIE,1981,9,143.0,264.836,17.1,24.9,20.766666666666666,131.7,135.0,133.13888888888889,1981-09-28 06:00:00,1981-09-30 09:00:00,1980s,Pre-2010,Cat 5,51.0,False
1981277N20116,UNNAMED,1981,10,21.0,38.892,20.3,20.5,20.4,115.2,116.0,115.6,1981-10-03 12:00:00,1981-10-03 15:00:00,1980s,Pre-2010,TD,3.0,False
1981283N07132,FABIAN,1981,10,30.0,55.56,7.3,11.6,10.085185185185185,115.6,132.4,125.4,1981-10-10 00:00:00,1981-10-13 06:00:00,1980s,Pre-2010,TD,78.0,True
1981286N10150,GAY,1981,10,95.0,175.94,18.9,24.6,21.15714285714286,128.4,135.0,130.51904761904763,1981-10-18 12:00:00,1981-10-21 00:00:00,1980s,Pre-2010,Cat 2,60.0,False
1981311N08119,UNNAMED,1981,11,29.0,53.708000000000006,8.0,10.7,9.458333333333334,115.0,119.0,116.90833333333335,1981-11-07 00:00:00,1981-11-08 09:00:00,1980s,Pre-2010,TD,33.0,True
1981317N14153,HAZEN,1981,11,88.0,162.976,13.4,15.0,14.145454545454546,115.7,134.7,125.50303030303031,1981-11-17 00:00:00,1981-11-21 00:00:00,1980s,Pre-2010,Cat 2,96.0,False
1981319N07163,IRMA,1981,11,133.0,246.316,12.6,24.5,17.3125,119.2,134.4,124.38499999999999,1981-11-22 06:00:00,1981-11-27 03:00:00,1980s,Pre-2010,Cat 4,117.0,False
1981324N08158,JEFF,1981,11,35.0,64.82000000000001,15.0,23.9,18.5,128.7,134.7,130.80833333333334,1981-11-25 00:00:00,1981-11-26 09:00:00,1980s,Pre-2010,TS,33.0,False
1981343N05150,KIT,1981,12,98.0,181.496,6.5,16.4,13.015789473684212,124.0,134.8,129.67631578947368,1981-12-18 03:00:00,1981-12-22 18:00:00,1980s,Pre-2010,Cat 3,111.0,True
1981355N07149,LEE,1981,12,93.0,172.23600000000002,10.7,20.9,13.762162162162161,115.2,134.6,123.68108108108108,1981-12-23 12:00:00,1981-12-29 18:00:00,1980s,Pre-2010,Cat 2,150.0,False
1982073N07153,MAMIE,1982,3,60.0,111.12,8.2,10.8,9.04,115.3,134.6,123.13333333333334,1982-03-18 09:00:00,1982-03-22 00:00:00,1980s,Pre-2010,TS,87.0,True
1982077N04161,NELSON,1982,3,103.0,190.756,9.0,14.7,11.25438596491228,115.1,134.7,123.79649122807017,1982-03-22 18:00:00,1982-03-29 18:00:00,1980s,Pre-2010,Cat 3,168.0,True
1982136N08140,PAT,1982,5,105.0,194.46,11.0,24.1,16.428571428571427,124.1,134.5,127.90238095238094,1982-05-17 00:00:00,1982-05-22 03:00:00,1980s,Pre-2010,Cat 3,123.0,False
1982176N18114,TESS:VAL,1982,6,50.0,92.60000000000001,18.0,24.8,21.5,115.0,127.8,118.8,1982-06-25 06:00:00,1982-07-03 00:00:00,1980s,Pre-2010,TS,186.0,False
1982179N19128,SKIP,1982,6,40.0,74.08,19.2,22.9,21.021428571428572,128.0,134.5,130.52142857142857,1982-06-28 00:00:00,1982-06-29 15:00:00,1980s,Pre-2010,TS,39.0,False
1982190N09148,WINONA,1982,7,53.0,98.156,11.5,18.8,14.603030303030302,115.1,134.7,125.38787878787879,1982-07-12 06:00:00,1982-07-16 06:00:00,1980s,Pre-2010,TS,96.0,False
1982202N12148,ANDY,1982,7,120.0,222.24,18.3,24.9,20.90666666666667,118.9,134.9,125.92666666666668,1982-07-26 00:00:00,1982-07-29 15:00:00,1980s,Pre-2010,Cat 4,87.0,False
1982213N13145,CECIL,1982,8,123.0,227.79600000000002,17.5,25.0,20.612244897959183,123.3,134.5,125.87551020408162,1982-08-03 09:00:00,1982-08-09 09:00:00,1980s,Pre-2010,Cat 4,144.0,False
1982220N08154,DOT,1982,8,80.0,148.16,13.5,25.0,20.067441860465117,115.0,134.9,124.78604651162792,1982-08-11 03:00:00,1982-08-16 18:00:00,1980s,Pre-2010,Cat 1,135.0,False
1982227N09140,FAYE,1982,8,88.0,162.976,10.5,24.3,17.665277777777778,118.7,135.0,125.4048611111111,1982-08-16 21:00:00,1982-09-03 18:00:00,1980s,Pre-2010,Cat 2,429.0,False
1982229N09154,ELLIS,1982,8,125.0,231.5,19.2,24.9,22.2,131.9,135.0,133.3357142857143,1982-08-23 00:00:00,1982-08-24 15:00:00,1980s,Pre-2010,Cat 4,39.0,False
1982246N16119,HOPE,1982,9,48.0,88.896,15.6,16.8,16.26111111111111,115.5,119.0,117.94999999999999,1982-09-03 00:00:00,1982-09-05 03:00:00,1980s,Pre-2010,TS,51.0,False
1982247N11147,JUDY,1982,9,88.0,162.976,21.0,24.8,22.990000000000002,133.5,135.0,133.95,1982-09-08 21:00:00,1982-09-10 00:00:00,1980s,Pre-2010,Cat 2,27.0,False
1982248N14133,IRVING,1982,9,68.0,125.936,12.9,15.9,13.923636363636362,115.0,133.3,124.22181818181818,1982-09-04 18:00:00,1982-09-11 12:00:00,1980s,Pre-2010,Cat 1,162.0,False
1982257N17140,KEN,1982,9,105.0,194.46,16.9,24.8,20.35,124.2,134.8,127.6046875,1982-09-15 09:00:00,1982-09-23 06:00:00,1980s,Pre-2010,Cat 3,189.0,False
1982283N17148,NANCY,1982,10,110.0,203.72,15.9,17.7,16.970967741935485,115.4,135.0,125.11612903225806,1982-10-12 03:00:00,1982-10-15 21:00:00,1980s,Pre-2010,Cat 3,90.0,False
1982286N17145,UNNAMED,1982,10,29.0,53.708000000000006,20.9,21.6,21.246153846153845,134.2,135.0,134.37692307692308,1982-10-17 12:00:00,1982-10-19 00:00:00,1980s,Pre-2010,TD,36.0,False
1982287N22137,UNNAMED,1982,10,29.0,53.708000000000006,19.4,24.1,22.728571428571428,128.0,134.1,129.46785714285713,1982-10-13 21:00:00,1982-10-17 06:00:00,1980s,Pre-2010,TD,81.0,False
1982325N08176,PAMELA,1982,12,78.0,144.45600000000002,9.9,16.6,13.912244897959184,115.2,134.6,126.45918367346938,1982-12-03 00:00:00,1982-12-09 00:00:00,1980s,Pre-2010,Cat 1,144.0,True
1982339N07139,ROGER,1982,12,65.0,120.38000000000001,7.8,22.1,15.53095238095238,121.9,134.5,125.13571428571429,1982-12-06 15:00:00,1982-12-11 18:00:00,1980s,Pre-2010,Cat 1,123.0,True
1983167N05145,SARAH,1983,6,25.0,46.300000000000004,7.0,12.9,9.950000000000001,115.1,134.9,125.46764705882352,1983-06-19 12:00:00,1983-06-23 15:00:00,1980s,Pre-2010,TD,99.0,True
