sid,name,datetime,lat,lon,wind_kt,wind_kmh,year,month,category,decade,era,track_order,opacity,line_color
1980076N06148,UNNAMED,1980-03-20 15:00:00,9.1,134.8,25.0,46.300000000000004,1980,3,TD,1980s,Pre-2010,1,0.3,Gray
1980076N06148,UNNAMED,1980-03-20 18:00:00,9.1,134.6,25.0,46.300000000000004,1980,3,TD,1980s,Pre-2010,2,0.3,Gray
1980076N06148,UNNAMED,1980-03-20 21:00:00,9.2,134.3,25.0,46.300000000000004,1980,3,TD,1980s,Pre-2010,3,0.3,Gray
1980076N06148,UNNAMED,1980-03-21 00:00:00,9.2,134.1,25.0,46.300000000000004,1980,3,TD,1980s,Pre-2010,4,0.3,Gray
1980076N06148,UNNAMED,1980-03-21 03:00:00,9.3,133.8,25.0,46.300000000000004,1980,3,TD,1980s,Pre-2010,5,0.3,Gray
1980076N06148,UNNAMED,1980-03-21 06:00:00,9.3,133.4,25.0,46.300000000000004,1980,3,TD,1980s,Pre-2010,6,0.3,Gray
1980076N06148,UNNAMED,1980-03-21 09:00:00,9.3,132.9,25.0,46.300000000000004,1980,3,TD,1980s,Pre-2010,7,0.3,Gray
1980076N06148,UNNAMED,1980-03-21 12:00:00,9.4,132.3,25.0,46.300000000000004,1980,3,TD,1980s,Pre-2010,8,0.3,Gray
1980076N06148,UNNAMED,1980-03-21 15:00:00,9.7,131.6,25.0,46.300000000000004,1980,3,TD,1980s,Pre-2010,9,0.3,Gray
1980076N06148,UNNAMED,1980-03-21 18:00:00,10.0,131.0,25.0,46.300000000000004,1980,3,TD,1980s,Pre-2010,10,0.3,Gray
1980076N06148,UNNAMED,1980-03-21 21:00:00,10.2,130.4,25.0,46.300000000000004,1980,3,TD,1980s,Pre-2010,11,0.3,Gray
1980076N06148,UNNAMED,1980-03-22 00:00:00,10.4,129.9,25.0,46.300000000000004,1980,3,TD,1980s,Pre-2010,12,0.3,Gray
1980076N06148,UNNAMED,1980-03-22 03:00:00,10.5,129.6,25.0,46.300000000000004,1980,3,TD,1980s,Pre-2010,13,0.3,Gray
1980076N06148,UNNAMED,1980-03-22 06:00:00,10.6,129.3,25.0,46.300000000000004,1980,3,TD,1980s,Pre-2010,14,0.3,Gray
1980076N06148,UNNAMED,1980-03-22 09:00:00,10.7,129.0,25.0,46.300000000000004,1980,3,TD,1980s,Pre-2010,15,0.3,Gray
1980076N06148,UNNAMED,1980-03-22 12:00:00,10.8,128.7,25.0,46.300000000000004,1980,3,TD,1980s,Pre-2010,16,0.3,Gray
