disaster_id,storm_name_clean,year,month,decade,era,region,location,intensity_category,deaths,affected,affected_millions,displaced,damage_usd,damage_billions
1980-0067-PHL,Joe,1980,7.0,1980s,Pre-2010,Unspecified,Northern,Severe,31,600000,0.6,300000,15400000.0,0.0154
1980-0070-PHL,Kim,1980,7.0,1980s,Pre-2010,Luzon,Cagayan Valley (Northwestern),Moderate,40,190000,0.19,0,0.0,0.0
1980-0099-PHL,Betty (Aring),1980,11.0,1980s,Pre-2010,Luzon,North and Central Luzon,Catastrophic,101,1004000,1.004,229000,102300000.0,0.1023
1980-0132-PHL,(Biring),1980,3.0,1980s,Pre-2010,Unspecified,,Minor,4,665,0.000665,100,402000.0,0.000402
1980-0133-PHL,(Ditang),1980,5.0,1980s,Pre-2010,Unspecified,,Minor,0,3063,0.003063,528,289000.0,0.000289
1980-0136-PHL,(Nitang/Osang),1980,7.0,1980s,Pre-2010,Unspecified,,Moderate,36,69237,0.069237,10451,0.0,0.0
1981-0062-PHL,Unnamed,1981,7.0,1980s,Pre-2010,Unspecified,Oriental Mindoro,Minor,0,28500,0.0285,3500,0.0,0.0
1981-0083-PHL,Clara,1981,9.0,1980s,Pre-2010,Luzon,Northern Luzon,Moderate,55,21905,0.021905,3340,6700000.0,0.0067
1981-0101-PHL,Irma (Anding),1981,11.0,1980s,Pre-2010,Unspecified,,Severe,261,840173,0.840173,0,35000000.0,0.035
1981-0112-PHL,Lee (Dinang),1981,12.0,1980s,Pre-2010,Visayas,"Samar, Mindoro, Luzon",Severe,250,180000,0.18,0,26000000.0,0.026
1981-0134-PHL,(Daling),1981,6.0,1980s,Pre-2010,Unspecified,,Severe,210,15478,0.015478,3356,7609000.0,0.007609
1981-0136-PHL,(Rubing),1981,8.0,1980s,Pre-2010,Unspecified,,Minor,5,9721,0.009721,1195,12908000.0,0.012908
1981-0138-PHL,(Yeyeng),1981,11.0,1980s,Pre-2010,Unspecified,,Minor,4,5736,0.005736,67,167000.0,0.000167
1982-0037-PHL,Mamie,1982,3.0,1980s,Pre-2010,Mindanao,S.E./N. Mindanao,Severe,117,16000,0.016,0,0.0,0.0
1982-0038-PHL,Nelson (Bising),1982,3.0,1980s,Pre-2010,Unspecified,Central province,Severe,151,789031,0.789031,304000,69000000.0,0.069
1982-0093-PHL,Faye,1982,8.0,1980s,Pre-2010,Unspecified,West,Moderate,70,25967,0.025967,0,6500000.0,0.0065
1982-0101-PHL,(Ruping),1982,9.0,1980s,Pre-2010,Luzon,C./S. Luzon,Moderate,65,50008,0.050008,5599,0.0,0.0
1982-0111-PHL,Nancy (Weling),1982,10.0,1980s,Pre-2010,Luzon,North Luzon,Moderate,96,64179,0.064179,12464,32000000.0,0.032
