sid,storm_name,year,month,latitude,longitude,lat_min,lat_max,max_wind_kt,max_wind_kmh,category,era,decade,reached_mindanao,opacity,color,size
1980076N06148,UNNAMED,1980,3,11.740384615384615,124.70576923076922,9.1,13.7,30.0,55.56,TD,Pre-2010,1980s,True,0.3,Gray,1.0
1980126N08150,DOM,1980,5,18.176404494382023,126.19887640449438,10.4,25.0,88.0,162.976,Cat 2,Pre-2010,1980s,False,0.3,Gray,4.0
1980137N04158,FORREST,1980,5,16.735714285714284,124.37857142857142,10.8,24.8,55.0,101.86,TS,Pre-2010,1980s,False,0.3,Gray,2.0
1980140N16116,GEORGIA,1980,5,18.151851851851852,115.88888888888889,14.3,24.7,55.0,101.86,TS,Pre-2010,1980s,False,0.3,Gray,2.0
1980171N06142,HERBERT,1980,6,10.9125,125.484375,8.4,14.3,43.0,79.63600000000001,TS,Pre-2010,1980s,True,0.3,Gray,2.0
1980181N10130,UNNAMED,1980,6,15.079999999999998,121.92,10.0,19.6,29.0,53.708000000000006,TD,Pre-2010,1980s,True,0.3,Gray,1.0
1980187N09146,IDA,1980,7,20.400000000000002,122.85263157894735,16.2,24.6,70.0,129.64000000000001,Cat 1,Pre-2010,1980s,False,0.3,Gray,3.0
1980197N07154,JOE,1980,7,16.32,125.23200000000001,14.4,18.9,100.0,185.20000000000002,Cat 3,Pre-2010,1980s,False,0.3,Gray,5.0
1980197N15133,UNNAMED,1980,7,14.947826086956523,123.3695652173913,14.3,17.2,30.0,55.56,TD,Pre-2010,1980s,False,0.3,Gray,1.0
1980201N08155,KIM,1980,7,17.05348837209302,123.07906976744185,11.3,24.0,130.0,240.76000000000002,Cat 4,Pre-2010,1980s,False,0.3,Gray,6.0
1980225N11145,UNNAMED,1980,8,15.4125,123.896875,12.2,18.5,23.0,42.596000000000004,TD,Pre-2010,1980s,False,0.3,Gray,1.0
1980236N15144,NORRIS,1980,8,21.491666666666664,127.7,18.2,24.8,95.0,175.94,Cat 2,Pre-2010,1980s,False,0.3,Gray,4.0
1980240N17119,UNNAMED,1980,8,16.057142857142857,117.17142857142856,15.0,17.2,23.0,42.596000000000004,TD,Pre-2010,1980s,False,0.3,Gray,1.0
1980243N09134,UNNAMED,1980,8,10.170370370370371,130.15925925925927,9.0,12.0,23.0,42.596000000000004,TD,Pre-2010,1980s,True,0.3,Gray,1.0
1980246N05151,ORCHID,1980,9,23.62222222222222,132.8777777777778,22.5,25.0,75.0,138.9,Cat 1,Pre-2010,1980s,False,0.3,Gray,3.0
1980257N17133,PERCY,1980,9,19.981632653061226,125.41836734693878,17.2,24.9,123.0,227.79600000000002,Cat 4,Pre-2010,1980s,False,0.3,Gray,6.0
1980277N09157,WYNNE,1980,10,22.352631578947367,129.70526315789473,20.0,24.8,138.0,255.57600000000002,Cat 5,Pre-2010,1980s,False,0.3,Gray,8.0
1980296N05165,BETTY,1980,11,17.092,125.542,14.2,25.0,123.0,227.79600000000002,Cat 4,Pre-2010,1980s,False,0.3,Gray,6.0
1980300N08137,CARY,1980,10,12.93611111111111,124.58611111111112,7.9,16.4,40.0,74.08,TS,Pre-2010,1980s,True,0.3,Gray,2.0
1980317N09118,UNNAMED,1980,11,10.775,116.7125,8.7,12.3,21.0,38.892,TD,Pre-2010,1980s,True,0.3,Gray,1.0
1980349N10138,ED,1980,12,12.164473684210526,127.63552631578946,7.6,14.6,50.0,92.60000000000001,TS,Pre-2010,1980s,True,0.3,Gray,2.0
1981158N17119,IKE,1981,6,19.632,118.46,16.7,24.9,65.0,120.38000000000001,Cat 1,Pre-2010,1980s,False,0.3,Gray,3.0
1981166N11135,JUNE,1981,6,17.028888888888886,128.29111111111112,11.4,24.7,75.0,138.9,Cat 1,Pre-2010,1980s,False,0.3,Gray,3.0
1981176N08150,KELLY,1981,6,13.69375,124.596875,13.2,14.5,58.0,107.41600000000001,TS,Pre-2010,1980s,False,0.3,Gray,2.0
1981178N05160,LYNN,1981,7,14.458823529411765,123.87352941176471,9.1,19.9,55.0,101.86,TS,Pre-2010,1980s,True,0.3,Gray,2.0
1981195N11138,MAURY,1981,7,19.920833333333334,129.67083333333332,15.5,25.0,55.0,101.86,TS,Pre-2010,1980s,False,0.3,Gray,2.0
1981202N24123,NINA,1981,7,24.457142857142856,123.14285714285714,23.8,25.0,29.0,53.708000000000006,TD,Pre-2010,1980s,False,0.3,Gray,1.0
1981214N13113,ROY,1981,8,18.002857142857142,116.73142857142857,15.1,20.6,50.0,92.60000000000001,TS,Pre-2010,1980s,False,0.3,Gray,2.0
1981214N16133,UNNAMED,1981,8,16.857142857142858,133.82857142857142,16.4,17.3,23.0,42.596000000000004,TD,Pre-2010,1980s,False,0.3,Gray,1.0
1981226N16119,WARREN,1981,8,16.107142857142858,116.69285714285715,15.5,16.4,26.0,48.152,TD,Pre-2010,1980s,False,0.3,Gray,1.0
1981227N18129,THAD,1981,8,20.63611111111111,132.30833333333334,17.7,25.0,85.0,157.42000000000002,Cat 2,Pre-2010,1980s,False,0.3,Gray,4.0
1981237N16148,AGNES,1981,8,22.244444444444444,130.33888888888887,19.6,25.0,83.0,153.716,Cat 2,Pre-2010,1980s,False,0.3,Gray,4.0
1981256N10150,CLARA,1981,9,16.860416666666666,125.1875,12.3,23.5,120.0,222.24,Cat 4,Pre-2010,1980s,False,0.3,Gray,6.0
1981265N14117,UNNAMED,1981,9,18.575,115.79375,14.0,23.5,29.0,53.708000000000006,TD,Pre-2010,1980s,False,0.3,Gray,1.0
1981266N09151,ELSIE,1981,9,20.766666666666666,133.13888888888889,17.1,24.9,143.0,264.836,Cat 5,Pre-2010,1980s,False,0.3,Gray,8.0
1981277N20116,UNNAMED,1981,10,20.4,115.6,20.3,20.5,21.0,38.892,TD,Pre-2010,1980s,False,0.3,Gray,1.0
1981283N07132,FABIAN,1981,10,10.085185185185185,125.4,7.3,11.6,30.0,55.56,TD,Pre-2010,1980s,True,0.3,Gray,1.0
1981286N10150,GAY,1981,10,21.15714285714286,130.51904761904763,18.9,24.6,95.0,175.94,Cat 2,Pre-2010,1980s,False,0.3,Gray,4.0
1981311N08119,UNNAMED,1981,11,9.458333333333334,116.90833333333335,8.0,10.7,29.0,53.708000000000006,TD,Pre-2010,1980s,True,0.3,Gray,1.0
1981317N14153,HAZEN,1981,11,14.145454545454546,125.50303030303031,13.4,15.0,88.0,162.976,Cat 2,Pre-2010,1980s,False,0.3,Gray,4.0
1981319N07163,IRMA,1981,11,17.3125,124.38499999999999,12.6,24.5,133.0,246.316,Cat 4,Pre-2010,1980s,False,0.3,Gray,6.0
1981324N08158,JEFF,1981,11,18.5,130.80833333333334,15.0,23.9,35.0,64.82000000000001,TS,Pre-2010,1980s,False,0.3,Gray,2.0
1981343N05150,KIT,1981,12,13.015789473684212,129.67631578947368,6.5,16.4,98.0,181.496,Cat 3,Pre-2010,1980s,True,0.3,Gray,5.0
1981355N07149,LEE,1981,12,13.762162162162161,123.68108108108108,10.7,20.9,93.0,172.23600000000002,Cat 2,Pre-2010,1980s,False,0.3,Gray,4.0
1982073N07153,MAMIE,1982,3,9.04,123.13333333333334,8.2,10.8,60.0,111.12,TS,Pre-2010,1980s,True,0.3,Gray,2.0
1982077N04161,NELSON,1982,3,11.25438596491228,123.79649122807017,9.0,14.7,103.0,190.756,Cat 3,Pre-2010,1980s,True,0.3,Gray,5.0
1982136N08140,PAT,1982,5,16.428571428571427,127.90238095238094,11.0,24.1,105.0,194.46,Cat 3,Pre-2010,1980s,False,0.3,Gray,5.0
1982176N18114,TESS:VAL,1982,6,21.5,118.8,18.0,24.8,50.0,92.60000000000001,TS,Pre-2010,1980s,False,0.3,Gray,2.0
1982179N19128,SKIP,1982,6,21.021428571428572,130.52142857142857,19.2,22.9,40.0,74.08,TS,Pre-2010,1980s,False,0.3,Gray,2.0
1982190N09148,WINONA,1982,7,14.603030303030302,125.38787878787879,11.5,18.8,53.0,98.156,TS,Pre-2010,1980s,False,0.3,Gray,2.0
1982202N12148,ANDY,1982,7,20.90666666666667,125.92666666666668,18.3,24.9,120.0,222.24,Cat 4,Pre-2010,1980s,False,0.3,Gray,6.0
1982213N13145,CECIL,1982,8,20.612244897959183,125.87551020408162,17.5,25.0,123.0,227.79600000000002,Cat 4,Pre-2010,1980s,False,0.3,Gray,6.0
1982220N08154,DOT,1982,8,20.067441860465117,124.78604651162792,13.5,25.0,80.0,148.16,Cat 1,Pre-2010,1980s,False,0.3,Gray,3.0
1982227N09140,FAYE,1982,8,17.665277777777778,125.4048611111111,10.5,24.3,88.0,162.976,Cat 2,Pre-2010,1980s,False,0.3,Gray,4.0
1982229N09154,ELLIS,1982,8,22.2,133.3357142857143,19.2,24.9,125.0,231.5,Cat 4,Pre-2010,1980s,False,0.3,Gray,6.0
1982246N16119,HOPE,1982,9,16.26111111111111,117.94999999999999,15.6,16.8,48.0,88.896,TS,Pre-2010,1980s,False,0.3,Gray,2.0
1982247N11147,JUDY,1982,9,22.990000000000002,133.95,21.0,24.8,88.0,162.976,Cat 2,Pre-2010,1980s,False,0.3,Gray,4.0
1982248N14133,IRVING,1982,9,13.923636363636362,124.22181818181818,12.9,15.9,68.0,125.936,Cat 1,Pre-2010,1980s,False,0.3,Gray,3.0
1982257N17140,KEN,1982,9,20.35,127.6046875,16.9,24.8,105.0,194.46,Cat 3,Pre-2010,1980s,False,0.3,Gray,5.0
1982283N17148,NANCY,1982,10,16.970967741935485,125.11612903225806,15.9,17.7,110.0,203.72,Cat 3,Pre-2010,1980s,False,0.3,Gray,5.0
1982286N17145,UNNAMED,1982,10,21.246153846153845,134.37692307692308,20.9,21.6,29.0,53.708000000000006,TD,Pre-2010,1980s,False,0.3,Gray,1.0
1982287N22137,UNNAMED,1982,10,22.728571428571428,129.46785714285713,19.4,24.1,29.0,53.708000000000006,TD,Pre-2010,1980s,False,0.3,Gray,1.0
1982325N08176,PAMELA,1982,12,13.912244897959184,126.45918367346938,9.9,16.6,78.0,144.45600000000002,Cat 1,Pre-2010,1980s,True,0.3,Gray,3.0
1982339N07139,ROGER,1982,12,15.53095238095238,125.13571428571429,7.8,22.1,65.0,120.38000000000001,Cat 1,Pre-2010,1980s,True,0.3,Gray,3.0
1983167N05145,SARAH,1983,6,9.950000000000001,125.46764705882352,7.0,12.9,25.0,46.300000000000004,TD,Pre-2010,1980s,True,0.3,Gray,1.0
1983186N04153,VERA,1983,7,13.002439024390245,125.32439024390244,10.3,17.5,80.0,148.16,Cat 1,Pre-2010,1980s,False,0.3,Gray,3.0
1983188N06136,TIP,1983,7,12.119354838709677,124.45161290322581,7.0,16.2,65.0,120.38000000000001,Cat 1,Pre-2010,1980s,True,0.3,Gray,3.0
1983201N08144,WAYNE,1983,7,19.189655172413794,125.42068965517241,14.3,25.0,128.0,237.056,Cat 4,Pre-2010,1980s,False,0.3,Gray,6.0
1983212N06151,ABBY,1983,8,19.581632653061224,131.37551020408162,13.5,25.0,145.0,268.54,Cat 5,Pre-2010,1980s,False,0.3,Gray,8.0
1983220N16111,CARMEN,1983,8,18.054166666666667,119.34791666666666,14.2,24.0,43.0,79.63600000000001,TS,Pre-2010,1980s,False,0.3,Gray,2.0
1983229N15140,DOM,1983,8,17.063157894736843,133.2421052631579,15.6,19.4,55.0,101.86,TS,Pre-2010,1980s,False,0.3,Gray,2.0
1983239N10183,ELLEN,1983,9,16.8475,124.3525,10.9,21.1,123.0,227.79600000000002,Cat 4,Pre-2010,1980s,False,0.3,Gray,6.0
1983259N08161,FORREST,1983,9,21.343478260869563,130.0304347826087,18.0,25.0,148.0,274.096,Cat 5,Pre-2010,1980s,False,0.3,Gray,8.0
1983271N18118,GEORGIA,1983,9,18.224999999999998,116.98333333333333,17.6,19.1,38.0,70.376,TS,Pre-2010,1980s,False,0.3,Gray,2.0
1983274N15119,UNNAMED,1983,9,14.666666666666666,116.89999999999999,14.5,14.9,29.0,53.708000000000006,TD,Pre-2010,1980s,False,0.3,Gray,1.0
1983276N06130,HERBERT,1983,10,7.379310344827586,122.21379310344827,5.1,10.8,25.0,46.300000000000004,TD,Pre-2010,1980s,True,0.3,Gray,1.0
1983279N04140,JOE,1983,10,13.673529411764704,125.0,8.3,17.5,50.0,92.60000000000001,TS,Pre-2010,1980s,True,0.3,Gray,2.0
1983279N17148,IDA,1983,10,23.014285714285712,132.85714285714286,21.4,24.8,60.0,111.12,TS,Pre-2010,1980s,False,0.3,Gray,2.0
1983282N09155,KIM,1983,10,9.9,124.47916666666667,9.3,10.4,25.0,46.300000000000004,TD,Pre-2010,1980s,True,0.3,Gray,1.0
1983287N09164,LEX,1983,10,15.363636363636363,124.04848484848485,12.9,16.7,40.0,74.08,TS,Pre-2010,1980s,False,0.3,Gray,2.0
1983299N07172,MARGE,1983,11,19.959999999999997,134.0,18.3,22.2,143.0,264.836,Cat 5,Pre-2010,1980s,False,0.3,Gray,8.0
1983301N11119,UNNAMED,1983,10,11.357142857142858,116.85714285714286,10.8,11.8,23.0,42.596000000000004,TD,Pre-2010,1980s,False,0.3,Gray,1.0
1983317N12153,ORCHID,1983,11,14.935443037974684,126.71012658227849,10.5,18.4,123.0,227.79600000000002,Cat 4,Pre-2010,1980s,False,0.3,Gray,6.0
1983321N11111,PERCY,1983,11,10.175,118.8875,8.6,12.0,33.0,61.116,TD,Pre-2010,1980s,True,0.3,Gray,1.0
1983325N08148,RUTH,1983,11,16.365853658536587,128.90975609756097,10.1,18.6,60.0,111.12,TS,Pre-2010,1980s,False,0.3,Gray,2.0
1983334N09142,SPERRY,1983,12,16.391666666666666,132.78333333333333,13.4,18.0,53.0,98.156,TS,Pre-2010,1980s,False,0.3,Gray,2.0
1983347N06154,THELMA,1983,12,14.413333333333332,133.74666666666667,12.1,16.7,55.0,101.86,TS,Pre-2010,1980s,False,0.3,Gray,2.0
1983352N08129,UNNAMED,1983,12,9.509090909090908,130.79999999999998,7.5,10.8,29.0,53.708000000000006,TD,Pre-2010,1980s,True,0.3,Gray,1.0
1984159N12116,VERNON,1984,6,11.84,115.67999999999999,11.8,11.9,,,Unknown,Pre-2010,1980s,False,0.3,Gray,
1984169N20137,WYNNE,1984,6,21.78627450980392,126.95882352941176,20.6,22.4,58.0,107.41600000000001,TS,Pre-2010,1980s,False,0.3,Gray,2.0
1984180N16130,ALEX,1984,6,17.46888888888889,125.35333333333332,15.8,24.9,80.0,148.16,Cat 1,Pre-2010,1980s,False,0.3,Gray,3.0
1984184N06139,BETTY,1984,7,14.781818181818181,123.7,8.1,19.2,48.0,88.896,TS,Pre-2010,1980s,True,0.3,Gray,2.0
1984214N12143,FREDA,1984,8,16.87666666666667,128.32,11.2,24.9,53.0,98.156,TS,Pre-2010,1980s,False,0.3,Gray,2.0
1984220N03145,UNNAMED,1984,8,17.588636363636365,126.2159090909091,9.2,22.8,30.0,55.56,TD,Pre-2010,1980s,True,0.3,Gray,1.0
1984222N20115,UNNAMED,1984,8,19.5,115.0,19.5,19.5,19.0,35.188,TD,Pre-2010,1980s,False,0.3,Gray,1.0
1984225N18142,HOLLY,1984,8,22.71923076923077,130.63846153846154,20.5,24.8,65.0,120.38000000000001,Cat 1,Pre-2010,1980s,False,0.3,Gray,3.0
1984227N18118,GERALD,1984,8,19.40277777777778,117.20277777777778,17.9,24.6,55.0,101.86,TS,Pre-2010,1980s,False,0.3,Gray,2.0
1984227N21135,UNNAMED,1984,8,22.645454545454545,130.3318181818182,20.5,24.1,29.0,53.708000000000006,TD,Pre-2010,1980s,False,0.3,Gray,1.0
1984234N16147,UNNAMED,1984,8,23.86,132.38000000000002,22.7,24.9,23.0,42.596000000000004,TD,Pre-2010,1980s,False,0.3,Gray,1.0
1984238N18137,JUNE,1984,8,19.013636363636365,124.27272727272727,17.5,23.9,65.0,120.38000000000001,Cat 1,Pre-2010,1980s,False,0.3,Gray,3.0
1984239N08146,IKE,1984,8,11.302777777777777,124.63333333333334,9.4,16.0,120.0,222.24,Cat 4,Pre-2010,1980s,True,0.3,Gray,6.0
1984267N18120,LYNN,1984,9,18.37857142857143,117.56428571428572,17.8,18.6,30.0,55.56,TD,Pre-2010,1980s,False,0.3,Gray,1.0
1984284N11116,SUSAN,1984,10,11.200000000000001,116.43333333333334,10.7,11.5,25.0,46.300000000000004,TD,Pre-2010,1980s,False,0.3,Gray,1.0
1984291N13130,WARREN,1984,10,13.316161616161615,120.57575757575758,11.0,15.7,65.0,120.38000000000001,Cat 1,Pre-2010,1980s,False,0.3,Gray,3.0
1984294N04163,VANESSA,1984,10,18.896153846153847,131.2076923076923,15.1,23.5,153.0,283.356,Cat 5,Pre-2010,1980s,False,0.3,Gray,8.0
1984299N18127,UNNAMED,1984,10,18.941176470588236,124.30588235294117,17.7,20.6,29.0,53.708000000000006,TD,Pre-2010,1980s,False,0.3,Gray,1.0
1984302N00149,AGNES,1984,11,10.919230769230769,125.76923076923077,9.2,12.6,118.0,218.536,Cat 4,Pre-2010,1980s,True,0.3,Gray,6.0
1984313N14154,BILL,1984,11,16.18918918918919,126.62972972972973,12.0,20.4,130.0,240.76000000000002,Cat 4,Pre-2010,1980s,False,0.3,Gray,6.0
1984317N04164,CLARA,1984,11,16.86315789473684,133.04736842105262,12.5,22.1,110.0,203.72,Cat 3,Pre-2010,1980s,False,0.3,Gray,5.0
1984336N05156,DOYLE,1984,12,16.91627906976744,131.97441860465116,10.6,24.4,123.0,227.79600000000002,Cat 4,Pre-2010,1980s,False,0.3,Gray,6.0
1985004N04131,FABIAN,1985,1,10.632432432432433,133.13783783783785,5.0,12.7,53.0,98.156,TS,Pre-2010,1980s,True,0.3,Gray,2.0
1985013N11131,FABIAN,1985,1,10.64,131.4,10.5,10.8,25.0,46.300000000000004,TD,Pre-2010,1980s,False,0.3,Gray,1.0
1985110N12127,UNNAMED,1985,4,15.375,128.975,12.0,18.1,38.0,70.376,TS,Pre-2010,1980s,False,0.3,Gray,2.0
1985136N07129,GAY,1985,5,13.336986301369864,130.72328767123287,6.5,24.7,100.0,185.20000000000002,Cat 3,Pre-2010,1980s,True,0.3,Gray,5.0
1985162N05154,HAL,1985,6,18.371739130434783,123.34347826086957,14.1,23.5,98.0,181.496,Cat 3,Pre-2010,1980s,False,0.3,Gray,5.0
1985168N05156,IRMA,1985,6,15.323529411764707,130.89705882352942,9.1,24.4,88.0,162.976,Cat 2,Pre-2010,1980s,True,0.3,Gray,4.0
1985168N22122,UNNAMED,1985,6,23.22142857142857,122.89285714285714,21.5,25.0,23.0,42.596000000000004,TD,Pre-2010,1980s,False,0.3,Gray,1.0
1985179N21115,UNNAMED,1985,6,21.817241379310346,116.95172413793104,20.7,23.7,23.0,42.596000000000004,TD,Pre-2010,1980s,False,0.3,Gray,1.0
